node1	node2	node1_string_id	node2_string_id	weight1	weight2
NUP153	NUP37	9606.ENSP00000444029	9606.ENSP00000448054	0.42	0.42
NUP153	NUP88	9606.ENSP00000444029	9606.ENSP00000458954	0.42	0.42
PTBP3	PUM1	9606.ENSP00000414921	9606.ENSP00000391723	0.42	0.42
RBM34	RPL5	9606.ENSP00000386226	9606.ENSP00000359345	0.42	0.42
RBM39	SF3B3	9606.ENSP00000253363	9606.ENSP00000305790	0.42	0.42
RPS2	TPT1	9606.ENSP00000341885	9606.ENSP00000477781	0.42	0.42
ACSL3	TMPO	9606.ENSP00000350012	9606.ENSP00000266732	0.421	0.42
ACTR2	MISP	9606.ENSP00000367220	9606.ENSP00000215582	0.421	0.42
AHNAK	EEF1B2	9606.ENSP00000367263	9606.ENSP00000376055	0.421	0.42
ANLN	SEPT9	9606.ENSP00000265748	9606.ENSP00000391249	0.421	0.42
ANLN	MDC1	9606.ENSP00000265748	9606.ENSP00000365588	0.421	0.42
ANLN	ITPRID2	9606.ENSP00000265748	9606.ENSP00000388731	0.421	0.42
ANLN	FLII	9606.ENSP00000265748	9606.ENSP00000324573	0.421	0.42
AQR	RBM39	9606.ENSP00000156471	9606.ENSP00000253363	0.421	0.42
ASH2L	MDC1	9606.ENSP00000340896	9606.ENSP00000365588	0.421	0.42
AURKA	AURKB	9606.ENSP00000216911	9606.ENSP00000313950	0.421	0.42
CCT3	KPNA4	9606.ENSP00000295688	9606.ENSP00000334373	0.421	0.42
CCT5	THOC3	9606.ENSP00000280326	9606.ENSP00000265097	0.421	0.42
CCT8	CDK9	9606.ENSP00000286788	9606.ENSP00000362361	0.421	0.42
CDC73	CDK9	9606.ENSP00000356405	9606.ENSP00000362361	0.421	0.42
CDK9	IGF2BP1	9606.ENSP00000362361	9606.ENSP00000290341	0.421	0.42
CDK9	HNRNPA2B1	9606.ENSP00000362361	9606.ENSP00000346694	0.421	0.42
CDK9	SYNCRIP	9606.ENSP00000362361	9606.ENSP00000358635	0.421	0.42
CDK9	CSNK2B	9606.ENSP00000362361	9606.ENSP00000365042	0.421	0.42
CDK9	HNRNPR	9606.ENSP00000362361	9606.ENSP00000363745	0.421	0.42
CEBPZ	NOLC1	9606.ENSP00000234170	9606.ENSP00000385410	0.421	0.42
CEBPZ	WDR46	9606.ENSP00000234170	9606.ENSP00000363746	0.421	0.42
CELF1	ELAVL1	9606.ENSP00000436864	9606.ENSP00000385269	0.421	0.42
CPSF6	VIRMA	9606.ENSP00000266679	9606.ENSP00000297591	0.421	0.42
CSNK2B	LYN	9606.ENSP00000365042	9606.ENSP00000428924	0.421	0.42
CTCF	RPS11	9606.ENSP00000494538	9606.ENSP00000270625	0.421	0.42
CTCF	RACK1	9606.ENSP00000494538	9606.ENSP00000426909	0.421	0.42
CTDSPL2	KPNB1	9606.ENSP00000260327	9606.ENSP00000290158	0.421	0.42
CTDSPL2	KPNA3	9606.ENSP00000260327	9606.ENSP00000261667	0.421	0.42
DAP3	RBM39	9606.ENSP00000357320	9606.ENSP00000253363	0.421	0.42
DARS2	KARS	9606.ENSP00000497569	9606.ENSP00000325448	0.421	0.42
DAZAP1	RBM12	9606.ENSP00000233078	9606.ENSP00000363228	0.421	0.42
DDB1	SUPT16H	9606.ENSP00000301764	9606.ENSP00000216297	0.421	0.42
DDX17	RBMX	9606.ENSP00000380033	9606.ENSP00000359645	0.421	0.42
DDX19A	EIF4E	9606.ENSP00000306117	9606.ENSP00000425561	0.421	0.42
DDX19A	SEPHS1	9606.ENSP00000306117	9606.ENSP00000367893	0.421	0.42
DDX24	NOC2L	9606.ENSP00000481495	9606.ENSP00000317992	0.421	0.421
DDX31	DKC1	9606.ENSP00000361232	9606.ENSP00000358563	0.421	0.42
DDX42	TP53BP1	9606.ENSP00000464050	9606.ENSP00000371475	0.421	0.42
DDX56	GRWD1	9606.ENSP00000258772	9606.ENSP00000253237	0.421	0.42
